# Percent efficiencies for sum of all SR bins, each SR bin, SR bin groups:
      mg   mchi10    xsec (pb)      all SRs          SR1          SR2          SR3          SR4          SR5          SR6          SR7          SR8          SR9         SR10         SR11         SR12         SR13         SR14         SR15         SR16         SR17         SR18         SR19         SR20         SR21         SR22         SR23         SR24         SR25         SR26         SR27         SR28         SR29         SR30         SR31         SR32         SR33         SR34         SR35         SR36         SR37         SR38         SR39         SR40         SR41         SR42         SR43         SR44         SR45         SR46         SR47         SR48         SR49    hadronSRs    leptonSRs     shortSRs      longSRs      1DTkSRs  multiDTkSRs 
    1400      400    2.840e-02      4.37926      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00038      0.00123      0.00000      0.00000      0.00000      0.00000      0.09470      0.03742      0.08367      0.05102      0.00107      0.00000      0.00154      0.00000      1.22464      0.19431      0.92210      0.28256      0.00000      0.00066      0.00000      0.00000      0.00072      0.00000      0.00125      0.00000      0.21355      0.02755      0.14334      0.03670      0.00000      0.00000      0.00000      0.00000      0.00160      0.00000      0.00026      0.00269      0.38508      0.06140      0.20401      0.11507      0.29073      2.89465      1.19387      2.24271      1.84582      4.08852      0.29073 
    1400      600    2.840e-02      2.72133      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00165      0.00000      0.00000      0.00000      0.00000      0.06167      0.03272      0.04400      0.06806      0.00000      0.00584      0.00000      0.00000      0.53671      0.25624      0.52186      0.40384      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.04957      0.06207      0.05887      0.05887      0.00000      0.00000      0.00072      0.00810      0.00000      0.00000      0.00000      0.00386      0.13270      0.05572      0.10730      0.17428      0.07669      1.93259      0.71204      1.19323      1.45140      2.64464      0.07669 
    1400      800    2.840e-02      1.73774      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00132      0.00045      0.00000      0.00000      0.00000      0.00000      0.02458      0.04944      0.05361      0.10939      0.00000      0.00000      0.00083      0.00000      0.15594      0.20245      0.26014      0.45314      0.00000      0.00000      0.00000      0.00024      0.00000      0.00000      0.00000      0.00003      0.01732      0.01412      0.03369      0.07574      0.00000      0.00000      0.00000      0.00156      0.00000      0.00000      0.00052      0.00000      0.02733      0.02932      0.05578      0.12905      0.04174      1.31131      0.38469      0.52050      1.17550      1.69600      0.04174 
    1400      900    2.840e-02      1.14943      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00412      0.00000      0.00000      0.00000      0.00000      0.02082      0.02103      0.03982      0.11923      0.00000      0.00000      0.00000      0.00000      0.10007      0.13020      0.14183      0.30856      0.00000      0.00000      0.00000      0.00047      0.00000      0.00000      0.00000      0.00269      0.01529      0.01122      0.02056      0.04128      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00051      0.00497      0.01971      0.02907      0.01985      0.07028      0.02787      0.88567      0.23590      0.34741      0.77416      1.12157      0.02787 
    1400     1000    2.840e-02      0.86856      0.00000      0.00000      0.00000      0.00000      0.00000      0.00041      0.00000      0.00179      0.00000      0.00000      0.00000      0.00000      0.02841      0.07156      0.03189      0.15016      0.00000      0.00000      0.00000      0.00000      0.02708      0.06530      0.05661      0.16969      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00623      0.01216      0.00143      0.05475      0.00000      0.00000      0.00000      0.00072      0.00000      0.00054      0.00000      0.00697      0.01051      0.02816      0.02443      0.09428      0.02548      0.60290      0.24018      0.25037      0.59271      0.84308      0.02548 
    1400     1100    2.840e-02      0.53499      0.00000      0.00000      0.00000      0.00000      0.00299      0.00000      0.00035      0.00867      0.00000      0.00000      0.00000      0.00067      0.02004      0.04094      0.04360      0.12610      0.00000      0.00000      0.00000      0.00000      0.02450      0.05123      0.02925      0.08857      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00136      0.00134      0.00361      0.00354      0.01694      0.00000      0.00000      0.00000      0.00000      0.00000      0.00045      0.00000      0.00089      0.00298      0.00916      0.00456      0.04076      0.01247      0.43693      0.08558      0.15725      0.36527      0.52251      0.01247 
    1400     1200    2.840e-02      0.30731      0.00000      0.00050      0.00000      0.00000      0.00230      0.00172      0.00000      0.01082      0.00000      0.00000      0.00000      0.00000      0.00823      0.01460      0.01282      0.06114      0.00000      0.00000      0.00000      0.00000      0.00039      0.03150      0.01213      0.03987      0.00000      0.00000      0.00081      0.00041      0.00059      0.00000      0.00046      0.00000      0.01511      0.00993      0.00291      0.01561      0.00000      0.00000      0.00024      0.00000      0.00000      0.00054      0.00064      0.00130      0.00506      0.01382      0.00253      0.03017      0.01115      0.19601      0.10015      0.10429      0.19186      0.29616      0.01115 
    1500      800    1.570e-02      1.78586      0.00000      0.00000      0.00000      0.00000      0.00167      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.04294      0.03376      0.03696      0.06893      0.00000      0.00000      0.00000      0.00000      0.19496      0.15515      0.26631      0.47523      0.00000      0.00000      0.00000      0.00000      0.00000      0.00427      0.00000      0.00000      0.02389      0.02420      0.03054      0.05860      0.00000      0.00000      0.00065      0.00000      0.00035      0.00300      0.00000      0.00026      0.04323      0.02934      0.06680      0.14955      0.07525      1.27591      0.43469      0.55676      1.15384      1.71060      0.07525 
    1500      900    1.570e-02      1.53269      0.00000      0.00000      0.00000      0.00000      0.00000      0.00130      0.00000      0.00291      0.00000      0.00000      0.00000      0.00000      0.02323      0.05736      0.02709      0.10066      0.00000      0.00000      0.00000      0.00000      0.14278      0.25062      0.21850      0.31142      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00034      0.01928      0.01443      0.02118      0.06926      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00001      0.00248      0.03250      0.03433      0.05656      0.11225      0.03421      1.13588      0.36261      0.57584      0.92264      1.49848      0.03421 
    1500     1000    1.570e-02      1.19406      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00060      0.00405      0.00000      0.00000      0.00000      0.00000      0.02443      0.03522      0.03068      0.10939      0.00000      0.00000      0.00000      0.00000      0.06585      0.14720      0.10318      0.33773      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00054      0.00604      0.01653      0.03328      0.06073      0.00000      0.00000      0.00000      0.00033      0.00000      0.00000      0.00022      0.00135      0.02059      0.04364      0.03629      0.07493      0.04128      0.85832      0.29447      0.35950      0.79329      1.15278      0.04128 
