msbottom   mchi10            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
     800      550     0.00349338     0.00172618     0.00250564     0.00394465     0.00642820     0.01008252
     800      600     0.00909388     0.00425625     0.00620853     0.00981163     0.01607041     0.02532220
     800      617     0.01459784     0.00677988     0.01010495     0.01623604     0.02723308     0.04366376
     800      633     0.01011187     0.00502107     0.00734232     0.01147673     0.01853013     0.02915009
     800      650     0.00799437     0.00479662     0.00700161     0.01107717     0.01822508     0.02896784
     800      700     0.00736189     0.00433925     0.00654597     0.01077395     0.01842328     0.03018933
     850        1     2.36520089     0.39917138     0.85136921     2.76179460     5.55783545     8.37597066
     850       50     0.00047215     0.00023779     0.00034281     0.00052960     0.00084616     0.00131185
     850      100     0.00034333     0.00016539     0.00024137     0.00038168     0.00061577     0.00096037
     850      150     0.00037889     0.00018396     0.00026694     0.00042028     0.00067832     0.00104852
     850      200     0.00046102     0.00022667     0.00032584     0.00050881     0.00081303     0.00124332
     850      250     0.00057999     0.00028831     0.00041127     0.00063053     0.00099492     0.00152101
     850      300     0.00070590     0.00035576     0.00051013     0.00078509     0.00123894     0.00189379
     850      350     0.00087239     0.00045325     0.00064630     0.00099148     0.00156433     0.00239108
     850      400     0.00099722     0.00051602     0.00074713     0.00115947     0.00187098     0.00287929
     850      450     0.00119011     0.00061979     0.00089719     0.00139283     0.00222503     0.00343357
     850      500     0.00155182     0.00079061     0.00114872     0.00180786     0.00293236     0.00457587
     850      550     0.00218427     0.00110765     0.00160657     0.00253041     0.00412265     0.00643583
     850      600     0.00379718     0.00171114     0.00250111     0.00390965     0.00634113     0.00993747
     850      650     0.00923263     0.00475034     0.00686491     0.01075900     0.01754201     0.02786171
     850      667     0.01233661     0.00581420     0.00857851     0.01366165     0.02270850     0.03640442
     850      683     0.00749749     0.00400249     0.00589841     0.00939341     0.01554078     0.02480971
     850      700     0.00938357     0.00471512     0.00698399     0.01116691     0.01856172     0.02975664
     850      750     0.00732864     0.00443717     0.00662884     0.01081224     0.01831774     0.02992206
     900        1     3.27812877     0.47710723     0.92941167     2.84045952     5.71619756     8.61442758
     900       50     0.00045502     0.00023086     0.00033259     0.00051397     0.00082132     0.00127339
     900      100     0.00033759     0.00016417     0.00023997     0.00037514     0.00060551     0.00094432
     900      150     0.00036950     0.00017914     0.00026062     0.00040592     0.00064870     0.00100091
     900      200     0.00044190     0.00021395     0.00030977     0.00048062     0.00076808     0.00118001
