   mstop     mchi            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
     750      665     0.00039670     0.00019250     0.00029354     0.00049348     0.00085934     0.00142993
     800       50     0.00419270     0.00204968     0.00292379     0.00448407     0.00719975     0.01137227
     800      100     0.00155731     0.00079560     0.00112495     0.00171182     0.00271479     0.00421337
     800      150     0.00107442     0.00057451     0.00081587     0.00124630     0.00197659     0.00306747
     800      200     0.00075016     0.00039795     0.00057590     0.00089346     0.00143505     0.00222625
     800      250     0.00054325     0.00027306     0.00040912     0.00065977     0.00108553     0.00171105
     800      300     0.00043364     0.00022885     0.00034628     0.00056310     0.00093555     0.00148768
     800      350     0.00029049     0.00014313     0.00022120     0.00037019     0.00063270     0.00102924
     800      400     0.00026827     0.00012900     0.00020175     0.00034075     0.00059334     0.00097033
     800      450     0.00028216     0.00013352     0.00020876     0.00035246     0.00061365     0.00101052
     800      500     0.00026606     0.00012857     0.00019986     0.00033575     0.00058463     0.00096271
     800      550     0.00025220     0.00012538     0.00019312     0.00032715     0.00056998     0.00094505
     800      600     0.00034737     0.00016789     0.00025928     0.00043421     0.00075593     0.00125383
     800      617     0.00039129     0.00018994     0.00029294     0.00049681     0.00086488     0.00143471
     800      633     0.00035929     0.00017067     0.00026480     0.00045048     0.00079549     0.00132985
     800      650     0.00040436     0.00019474     0.00029978     0.00050847     0.00088913     0.00148962
     800      700     0.00063040     0.00030718     0.00047428     0.00080341     0.00139921     0.00233764
     800      715     0.00036228     0.00017793     0.00027134     0.00045619     0.00079425     0.00132655
     850        1  7753.23193149  1893.63252117  3700.75968974 11145.15233607 22429.16852763 33801.20770955
     850       50     0.00436433     0.00201516     0.00284349     0.00437101     0.00698403     0.01097539
     850      100     0.00168894     0.00085899     0.00121440     0.00184762     0.00292336     0.00450268
     850      150     0.00110510     0.00057767     0.00081662     0.00124283     0.00196076     0.00302610
     850      200     0.00079581     0.00041079     0.00059770     0.00093082     0.00150240     0.00233247
     850      250     0.00060476     0.00030253     0.00044707     0.00070433     0.00114790     0.00179237
     850      300     0.00044334     0.00021468     0.00032611     0.00053909     0.00090439     0.00144996
     850      350     0.00033837     0.00016124     0.00025030     0.00041716     0.00071315     0.00115117
     850      400     0.00028251     0.00013837     0.00021534     0.00036178     0.00062411     0.00102192
     850      450     0.00025554     0.00012360     0.00019437     0.00032960     0.00057377     0.00094508
     850      500     0.00023750     0.00011509     0.00017969     0.00030346     0.00052848     0.00087049
     850      550     0.00026005     0.00012736     0.00019820     0.00033288     0.00057963     0.00095141
     850      600     0.00027962     0.00013628     0.00020991     0.00035559     0.00062229     0.00103506
     850      650     0.00032381     0.00015986     0.00024572     0.00040926     0.00071264     0.00117791
     850      667     0.00038453     0.00018525     0.00028582     0.00048417     0.00084344     0.00140386
     850      683     0.00038165     0.00018275     0.00028177     0.00047727     0.00083895     0.00139400
     850      700     0.00041889     0.00020234     0.00031209     0.00052864     0.00092500     0.00153840
     850      750     0.00065329     0.00031129     0.00048108     0.00080530     0.00140281     0.00232615
