 mchi1pm   dm(chi1pm-chi10)            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
     300              0.215     0.09109408     0.04015038     0.05543164     0.08222947     0.12614453     0.18953206
     300              0.315     4.75966311     1.46252931     2.07943319     3.25606056     5.46274024     9.20765284
     300              0.415     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     300              0.465     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     300              0.515     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     300              0.615     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     300              0.815     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     300              1.015     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     300              1.315     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     300              3.315     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     300              4.315     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     300              5.315     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     400              0.174     0.01314913     0.00733673     0.01039252     0.01564932     0.02432518     0.03650558
     400              0.224     0.15181511     0.05941271     0.08289116     0.12468852     0.19577531     0.30037295
     400              0.324     5.58247830     1.64786101     2.46480905     4.13710868     7.59924605    12.54050159
     400              0.424     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              0.180     0.01651237     0.00911454     0.01282231     0.01944141     0.03021958     0.04557272
     500              0.230     0.20892044     0.07860914     0.10966684     0.16497360     0.26033132     0.40364098
     500              0.330    31.51524021    10.22934479    16.39105136    31.55106409    63.49293409    95.68231450
     500              0.430     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              0.480     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              0.530     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              0.630     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              0.830     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              1.030     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              1.330     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              2.330     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              3.330     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              4.330     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              5.330     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     700              0.238     0.34219768     0.13044267     0.18352980     0.27822934     0.44124970     0.69105599
     700              0.338   455.59625464    41.36596610    81.38235284   246.25747458   495.57641106   746.84272716
     900              0.142     0.00154015     0.00082070     0.00124349     0.00202155     0.00335741     0.00525284
     900              0.242     0.60345571     0.24560441     0.34412079     0.51952799     0.82194237     1.28980934
     900              0.342  2792.34970954   485.62240173   955.44472877  2891.10714293  5818.21727795  8768.20547528
    1100              0.145     0.00173719     0.00093329     0.00141478     0.00229928     0.00378406     0.00596456
    1100              0.245     0.77847765     0.26027298     0.37967857     0.60014969     0.99251022     1.61041466
    1100              0.345    20.43441357     6.37046057    10.90775476    23.97632329    48.25540935    72.71698256
