      mg   mchi10            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
    2600     1000     0.00028954     0.00013336     0.00021183     0.00036699     0.00065063     0.00109763
    2600     1200     0.00024052     0.00010972     0.00017564     0.00030560     0.00054674     0.00092327
    2600     1400     0.00021776     0.00009954     0.00015931     0.00027715     0.00049604     0.00083482
    2600     1600     0.00020574     0.00009704     0.00015315     0.00026408     0.00046816     0.00078983
    2600     1700     0.00020767     0.00009828     0.00015652     0.00026744     0.00047434     0.00079772
    2600     1800     0.00020927     0.00009851     0.00015547     0.00026808     0.00047549     0.00080201
    2600     1900     0.00021960     0.00010538     0.00016544     0.00028409     0.00049906     0.00083795
    2600     2000     0.00021933     0.00010456     0.00016413     0.00028182     0.00049740     0.00083713
    2600     2100     0.00023444     0.00011337     0.00017751     0.00030231     0.00053128     0.00089176
    2600     2200     0.00030163     0.00014556     0.00022591     0.00037988     0.00066763     0.00110598
    2600     2300     0.00043552     0.00020321     0.00031316     0.00053049     0.00093264     0.00154956
    2600     2400     0.00091977     0.00043774     0.00067939     0.00114244     0.00199895     0.00334887
    2700       25     0.03634314     0.02031845     0.02851713     0.04335900     0.06928366     0.10983955
    2700       50     0.01142278     0.00610742     0.00851698     0.01281603     0.02011630     0.03086631
    2700       75     0.00744131     0.00388964     0.00542534     0.00816469     0.01275399     0.01945117
    2700      150     0.00313009     0.00165378     0.00233148     0.00349833     0.00547932     0.00842196
    2700     1700     0.00021192     0.00010013     0.00015803     0.00027249     0.00048307     0.00081499
    2700     1800     0.00020830     0.00009845     0.00015543     0.00026826     0.00047562     0.00080217
    2700     1900     0.00020783     0.00009881     0.00015602     0.00026889     0.00047691     0.00079934
    2700     2000     0.00021220     0.00010134     0.00015905     0.00027309     0.00048211     0.00081132
    2700     2100     0.00021897     0.00010408     0.00016343     0.00028044     0.00049517     0.00083051
    2700     2200     0.00023731     0.00011469     0.00017970     0.00030576     0.00053752     0.00089931
    2700     2300     0.00030091     0.00014485     0.00022374     0.00037894     0.00066303     0.00110232
    2700     2400     0.00039293     0.00018189     0.00028216     0.00047998     0.00084376     0.00141663
    2700     2500     0.00090279     0.00044361     0.00067968     0.00114664     0.00199625     0.00333486
    2800        1     2.95641340     0.60648808     1.25271754     3.98234587     8.01393651    12.07749303
    2800       25     0.05349624     0.02053378     0.02910528     0.04492474     0.07322329     0.11929510
    2800       50     0.00925036     0.00509819     0.00714003     0.01078710     0.01701964     0.02626144
    2800       75     0.00688643     0.00335454     0.00469982     0.00709623     0.01114287     0.01709497
    2800      150     0.00300342     0.00165640     0.00230968     0.00347463     0.00539996     0.00822489
    2800      200     0.00254848     0.00139153     0.00197114     0.00296867     0.00464943     0.00707834
    2800      400     0.00118005     0.00062631     0.00090653     0.00140668     0.00224735     0.00349996
    2800      600     0.00064741     0.00032395     0.00049005     0.00079700     0.00133027     0.00211562
    2800      800     0.00044272     0.00020716     0.00032619     0.00055256     0.00096229     0.00158502
    2800     1000     0.00030678     0.00014360     0.00022647     0.00039079     0.00069303     0.00116130
    2800     1200     0.00025334     0.00011858     0.00018723     0.00032269     0.00057511     0.00096899
    2800     1400     0.00023176     0.00010882     0.00017174     0.00029613     0.00052747     0.00088570
    2800     1600     0.00020563     0.00009726     0.00015361     0.00026500     0.00047007     0.00079293
    2800     1800     0.00021069     0.00009875     0.00015611     0.00026916     0.00047947     0.00080525
    2800     1900     0.00020039     0.00009335     0.00014827     0.00025706     0.00045587     0.00076891
    2800     2000     0.00019654     0.00009347     0.00014763     0.00025469     0.00044960     0.00075682
    2800     2100     0.00020805     0.00009975     0.00015653     0.00026872     0.00047424     0.00079293
    2800     2200     0.00021967     0.00010646     0.00016611     0.00028389     0.00049877     0.00083469
    2800     2300     0.00023729     0.00011404     0.00017927     0.00030402     0.00053408     0.00089387
    2800     2400     0.00029379     0.00014212     0.00021899     0.00037150     0.00065241     0.00108458
    2800     2500     0.00042056     0.00019509     0.00030064     0.00050928     0.00089534     0.00149292
    2800     2600     0.00087625     0.00042683     0.00065782     0.00111603     0.00195211     0.00326900
