 mchi1pm   dm(chi1pm-chi10)            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
     500              0.430     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              0.480     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              0.530     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              0.630     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              0.830     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              1.030     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              1.330     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              2.330     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              3.330     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              4.330     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              5.330     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     700              0.238    67.89444426    26.18592880    36.94743750    56.80162344    91.20900130   145.33558609
     900              0.142     0.00178420     0.00096460     0.00145005     0.00234951     0.00386681     0.00604399
     900              0.242   179.42366219    68.54183356    96.73827567   148.73396555   242.43500389   393.29956877
    1100              0.145     0.00266637     0.00148778     0.00221636     0.00355720     0.00585621     0.00915014
    1100              0.245   224.26999070    81.40170033   124.09606152   208.48802839   366.39071444   629.70029611
