      mg     mchi            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
    2100       75     0.00073954     0.00040198     0.00056315     0.00085040     0.00133172     0.00202757
    2100      150     0.00058666     0.00030441     0.00043107     0.00064935     0.00101963     0.00154929
    2100     1100     0.00163451     0.00075296     0.00114984     0.00190775     0.00326159     0.00536469
    2100     1200     0.00167293     0.00079753     0.00121577     0.00204222     0.00358834     0.00600541
    2100     1300     0.00211870     0.00100607     0.00153333     0.00257399     0.00450311     0.00754347
    2100     1400     0.00216096     0.00101897     0.00155352     0.00261046     0.00456641     0.00769926
    2100     1500     0.00252887     0.00118308     0.00181699     0.00302888     0.00527469     0.00881037
    2100     1600     0.00336889     0.00153548     0.00234677     0.00389371     0.00678133     0.01128923
    2100     1700     0.00409890     0.00182605     0.00275850     0.00453598     0.00775747     0.01280501
    2100     1800     0.00724779     0.00318088     0.00466056     0.00739841     0.01229377     0.01994471
    2100     1900     0.01442513     0.00593575     0.00902280     0.01490180     0.02571781     0.04303705
    2200        1     0.33506247     0.17729718     0.28804499     0.56038393     1.12781545     1.69967688
    2200       25     0.00239237     0.00132022     0.00184185     0.00277127     0.00432852     0.00660110
    2200       50     0.00105032     0.00056774     0.00079557     0.00120136     0.00187646     0.00286201
    2200       75     0.00075824     0.00040592     0.00057133     0.00086625     0.00135651     0.00207503
    2200      150     0.00056184     0.00029970     0.00041975     0.00063391     0.00099547     0.00151260
    2200      200     0.00059739     0.00030639     0.00043401     0.00065394     0.00102143     0.00155771
    2200      400     0.00080882     0.00041722     0.00058557     0.00087561     0.00135382     0.00203393
    2200      600     0.00103839     0.00053830     0.00076924     0.00116778     0.00182838     0.00278379
    2200      800     0.00117088     0.00060048     0.00088049     0.00139800     0.00227745     0.00357174
    2200     1000     0.00128745     0.00064213     0.00096479     0.00158029     0.00266435     0.00432132
    2200     1200     0.00147432     0.00070282     0.00108056     0.00179940     0.00310546     0.00515783
    2200     1300     0.00175670     0.00085201     0.00130050     0.00215893     0.00374214     0.00623262
    2200     1400     0.00199699     0.00094889     0.00144639     0.00242882     0.00423016     0.00711595
