msbottom     mchi            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
    1050      450     0.00036405     0.00018203     0.00027986     0.00046617     0.00079709     0.00129172
    1050      500     0.00030411     0.00015221     0.00023507     0.00039370     0.00067598     0.00110308
    1050      550     0.00028787     0.00014489     0.00022241     0.00037080     0.00063992     0.00104757
    1050      600     0.00027572     0.00013850     0.00021413     0.00035837     0.00061845     0.00101990
    1050      650     0.00027165     0.00013862     0.00021186     0.00035442     0.00061161     0.00100151
    1050      700     0.00027221     0.00013894     0.00021176     0.00035565     0.00061372     0.00101179
    1050      750     0.00030716     0.00015334     0.00023573     0.00039288     0.00068099     0.00112672
    1050      800     0.00040246     0.00020451     0.00031223     0.00051783     0.00089349     0.00147421
    1050      850     0.00071216     0.00036399     0.00055576     0.00092255     0.00159934     0.00264570
    1050      867     0.00100481     0.00049349     0.00075943     0.00126526     0.00218233     0.00362580
    1050      883     0.00090531     0.00045558     0.00070035     0.00116647     0.00202259     0.00334483
    1050      900     0.00081618     0.00041525     0.00063133     0.00104267     0.00179897     0.00294448
    1050      950     0.00092144     0.00048336     0.00073422     0.00121268     0.00205458     0.00334313
    1100       50     0.00850989     0.00465867     0.00653876     0.00978043     0.01531384     0.02342792
    1100      100     0.00359456     0.00195357     0.00272931     0.00406484     0.00630114     0.00956893
    1100      150     0.00249960     0.00129366     0.00181537     0.00271383     0.00422910     0.00639813
    1100      200     0.00142965     0.00077591     0.00109720     0.00166929     0.00263374     0.00402638
    1100      250     0.00102127     0.00054550     0.00078167     0.00120343     0.00192323     0.00296758
    1100      300     0.00076652     0.00039903     0.00058917     0.00092832     0.00151338     0.00236263
    1100      350     0.00057160     0.00029150     0.00043659     0.00070398     0.00116469     0.00184369
    1100      400     0.00043983     0.00022332     0.00034179     0.00056057     0.00094049     0.00150787
    1100      450     0.00037084     0.00018886     0.00028867     0.00047882     0.00081095     0.00131042
    1100      500     0.00033943     0.00017158     0.00026446     0.00043903     0.00075048     0.00122047
    1100      550     0.00028891     0.00014571     0.00022502     0.00037640     0.00064673     0.00105523
