# Percent efficiencies for sum of all SR bins, each SR bin, SR bin groups:
   mstop   mchi10    xsec (pb)      all SRs          SR1          SR2          SR3          SR4          SR5          SR6          SR7          SR8          SR9         SR10         SR11         SR12         SR13         SR14         SR15         SR16         SR17         SR18         SR19         SR20         SR21         SR22         SR23         SR24         SR25         SR26         SR27         SR28         SR29         SR30         SR31         SR32         SR33         SR34         SR35         SR36         SR37         SR38         SR39         SR40         SR41         SR42         SR43         SR44         SR45         SR46         SR47         SR48         SR49    hadronSRs    leptonSRs     shortSRs      longSRs      1DTkSRs  multiDTkSRs 
     500      150    6.090e-01      4.94900      0.05447      0.01325      0.01161      0.00012      0.09905      0.04609      0.00955      0.02048      0.21143      0.11340      0.03377      0.01656      0.92053      0.36413      0.13616      0.08060      0.19484      0.12485      0.03432      0.01205      1.10439      0.34097      0.17240      0.05629      0.00080      0.00208      0.00078      0.00045      0.00860      0.00417      0.00055      0.00053      0.17174      0.06691      0.01766      0.00317      0.00041      0.00000      0.00000      0.00000      0.00351      0.00150      0.00052      0.00000      0.10750      0.04022      0.00714      0.00579      0.33365      4.17132      0.44402      3.99484      0.62051      4.61535      0.33365 
     500      200    6.090e-01      5.93024      0.03722      0.03273      0.00202      0.00718      0.08478      0.09145      0.00967      0.02203      0.23186      0.19180      0.03455      0.03109      0.93071      0.92732      0.19917      0.12264      0.15515      0.14218      0.03125      0.04319      0.96246      0.56993      0.11966      0.06837      0.00139      0.00294      0.00052      0.00071      0.00072      0.01364      0.00000      0.00246      0.13458      0.05762      0.01134      0.00848      0.00075      0.00057      0.00000      0.00000      0.00750      0.00001      0.00000      0.00000      0.06661      0.03836      0.01032      0.01956      0.50375      5.04839      0.37809      4.68226      0.74423      5.42649      0.50375 
     500      250    6.090e-01      6.33391      0.02089      0.03966      0.00442      0.02299      0.12767      0.11606      0.01135      0.02139      0.25665      0.40511      0.01861      0.07252      0.91462      1.34688      0.13510      0.24029      0.13977      0.11951      0.02142      0.03086      0.63965      0.56875      0.09471      0.09797      0.00065      0.00135      0.00000      0.00408      0.00116      0.00708      0.00047      0.00000      0.07936      0.05367      0.00783      0.00795      0.00535      0.00072      0.00000      0.00000      0.00403      0.00115      0.00027      0.00051      0.06888      0.06001      0.01168      0.01382      0.53702      5.46684      0.33005      4.97863      0.81826      5.79689      0.53702 
     500      300    6.090e-01      5.47930      0.02505      0.08191      0.00956      0.00375      0.09303      0.12651      0.01698      0.02313      0.18862      0.44055      0.03994      0.06142      0.74718      1.30856      0.14218      0.22657      0.07421      0.06094      0.01407      0.01448      0.43480      0.41269      0.05610      0.06559      0.00000      0.00060      0.00000      0.00000      0.00469      0.00228      0.00000      0.00000      0.03621      0.08176      0.00856      0.00545      0.00000      0.00652      0.00000      0.00000      0.00091      0.01622      0.00000      0.00090      0.04114      0.05928      0.00763      0.00429      0.53503      4.66784      0.27643      4.24366      0.70061      4.94427      0.53503 
     500      317    6.090e-01      4.76126      0.02111      0.07126      0.00565      0.01151      0.08204      0.12599      0.00916      0.01049      0.19174      0.42922      0.02081      0.07946      0.61432      1.20004      0.10052      0.23026      0.05987      0.05306      0.00617      0.01268      0.27315      0.28675      0.06397      0.06457      0.00000      0.00146      0.00000      0.00000      0.00254      0.00170      0.00000      0.00209      0.02949      0.05385      0.00153      0.00875      0.00066      0.00058      0.00000      0.00000      0.00090      0.00345      0.00000      0.00038      0.06440      0.06455      0.00216      0.00998      0.48899      4.02382      0.24845      3.63213      0.64015      4.27227      0.48899 
     500      333    6.090e-01      4.75642      0.02960      0.06756      0.00197      0.01182      0.06617      0.14273      0.01663      0.01518      0.17399      0.41251      0.04583      0.07474      0.62372      1.22817      0.06309      0.25563      0.03850      0.03641      0.00198      0.00750      0.30482      0.33992      0.04131      0.03621      0.00360      0.00112      0.00000      0.00026      0.00338      0.00552      0.00001      0.00054      0.02742      0.06840      0.00767      0.00517      0.00096      0.00010      0.00000      0.00033      0.00063      0.00404      0.00022      0.00045      0.04025      0.05115      0.01098      0.00511      0.48313      4.03598      0.23732      3.67068      0.60261      4.27329      0.48313 
     500      350    6.090e-01      4.12575      0.02251      0.05281      0.01103      0.01415      0.06706      0.10431      0.00692      0.02034      0.16653      0.39093      0.02732      0.07052      0.47077      1.04910      0.06790      0.21002      0.03358      0.00671      0.01348      0.00411      0.21753      0.42709      0.02823      0.05749      0.00023      0.00345      0.00000      0.00000      0.00103      0.00205      0.00000      0.00000      0.01956      0.06220      0.00621      0.01209      0.00302      0.00384      0.00000      0.00000      0.00143      0.00328      0.00046      0.00048      0.01277      0.05721      0.00150      0.02534      0.36916      3.54045      0.21614      3.17900      0.57759      3.75659      0.36916 
     500      400    6.090e-01      2.60511      0.03361      0.05613      0.00321      0.00806      0.03743      0.13998      0.00669      0.01704      0.07961      0.16700      0.01026      0.02594      0.22842      0.65768      0.03655      0.09635      0.01445      0.02617      0.00319      0.00656      0.19475      0.29726      0.02181      0.04982      0.00000      0.00267      0.00000      0.00032      0.00496      0.00066      0.00000      0.00226      0.02380      0.02591      0.00110      0.00633      0.00000      0.00082      0.00059      0.00050      0.00242      0.00342      0.00000      0.00048      0.02351      0.03365      0.00052      0.00532      0.24794      2.21795      0.13922      2.05430      0.30287      2.35717      0.24794 
     500      415    6.090e-01      4.68325      0.02921      0.08291      0.00682      0.00583      0.05858      0.11106      0.00912      0.03451      0.12788      0.21765      0.01418      0.04202      0.34683      1.21027      0.06845      0.30249      0.02046      0.04884      0.00264      0.01661      0.32566      0.59261      0.03269      0.08071      0.00000      0.00923      0.00000      0.00000      0.00000      0.00055      0.00000      0.00000      0.00895      0.02687      0.00086      0.00164      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00061      0.00140      0.00000      0.84512      3.78803      0.05010      3.21817      0.61997      3.83813      0.84512 
     550        1    3.470e-01      0.00044      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00044      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00044      0.00044      0.00000      0.00044      0.00000 
