# Percent efficiencies for sum of all SR bins, each SR bin, SR bin groups:
   msbot   mchi10    xsec (pb)      all SRs          SR1          SR2          SR3          SR4          SR5          SR6          SR7          SR8          SR9         SR10         SR11         SR12         SR13         SR14         SR15         SR16         SR17         SR18         SR19         SR20         SR21         SR22         SR23         SR24         SR25         SR26         SR27         SR28         SR29         SR30         SR31         SR32         SR33         SR34         SR35         SR36         SR37         SR38         SR39         SR40         SR41         SR42         SR43         SR44         SR45         SR46         SR47         SR48         SR49    hadronSRs    leptonSRs     shortSRs      longSRs      1DTkSRs  multiDTkSRs 
     450      365    1.110e+00      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000 
     500        1    6.090e-01      0.00965      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00087      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00313      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00430      0.00135      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00400      0.00565      0.00965      0.00000      0.00965      0.00000 
     500       50    6.090e-01      8.64266      0.01941      0.00000      0.00806      0.00000      0.25325      0.00284      0.06990      0.00000      0.03086      0.00000      0.00469      0.00000      1.69803      0.01317      0.49092      0.00522      0.03210      0.00000      0.00389      0.00000      1.89772      0.02361      0.55131      0.00572      0.00320      0.00000      0.00222      0.00000      0.00753      0.00000      0.00204      0.00000      0.28634      0.00293      0.09537      0.00000      0.00999      0.00000      0.00529      0.00000      0.00779      0.00000      0.00323      0.00000      0.52547      0.00677      0.14602      0.00119      2.42658      5.11071      1.10537      4.82101      1.39507      6.21609      2.42658 
     500      100    6.090e-01      7.54789      0.01254      0.00163      0.00865      0.00016      0.20501      0.00692      0.09402      0.00723      0.03353      0.00010      0.02098      0.00112      1.33032      0.04352      0.65758      0.04943      0.02959      0.00000      0.00780      0.00000      1.60543      0.03634      0.65961      0.04054      0.00368      0.00050      0.00176      0.00080      0.00492      0.00006      0.00207      0.00000      0.25126      0.00342      0.11196      0.00672      0.00473      0.00104      0.00133      0.00000      0.01195      0.00000      0.00497      0.00152      0.43359      0.00886      0.19001      0.00953      1.64113      4.85207      1.05468      4.02893      1.87783      5.90676      1.64113 
     500      150    6.090e-01      5.56844      0.00830      0.00000      0.00621      0.00036      0.13374      0.01258      0.09386      0.01518      0.01978      0.00249      0.01466      0.00298      0.84347      0.11028      0.63683      0.15709      0.02203      0.00000      0.00782      0.00107      0.98033      0.05508      0.57932      0.09647      0.00257      0.00000      0.00082      0.00055      0.00277      0.00084      0.00383      0.00000      0.17563      0.00938      0.10483      0.02582      0.00372      0.00000      0.00339      0.00126      0.00639      0.00114      0.00688      0.00125      0.26607      0.02249      0.17660      0.03340      0.91886      3.79995      0.84963      2.67908      1.97051      4.64959      0.91886 
     500      200    6.090e-01      3.53976      0.00566      0.00230      0.00415      0.00099      0.07086      0.02459      0.07611      0.04118      0.01730      0.00270      0.01142      0.00830      0.50523      0.13340      0.50001      0.25953      0.01097      0.00186      0.00527      0.00000      0.40959      0.05823      0.30799      0.10603      0.00311      0.00274      0.00178      0.00115      0.00200      0.00216      0.00183      0.00050      0.08733      0.02340      0.05928      0.02853      0.00360      0.00000      0.00201      0.00165      0.00476      0.00145      0.00451      0.00329      0.11827      0.02581      0.12313      0.04319      0.43066      2.56365      0.54546      1.51731      1.59179      3.10911      0.43066 
     500      250    6.090e-01      1.84493      0.00208      0.00096      0.00214      0.00462      0.04132      0.01827      0.03932      0.03389      0.00769      0.00187      0.00829      0.00329      0.25376      0.11553      0.25809      0.21472      0.00605      0.00068      0.00000      0.00102      0.15112      0.03116      0.10646      0.05284      0.00292      0.00000      0.00018      0.00118      0.00154      0.00000      0.00099      0.00054      0.02684      0.01754      0.03376      0.02850      0.00060      0.00055      0.00245      0.00203      0.00344      0.00140      0.00310      0.00357      0.06846      0.02478      0.06440      0.04348      0.15752      1.35515      0.33225      0.77855      0.90885      1.68740      0.15752 
     500      300    6.090e-01      0.62033      0.00345      0.00000      0.00076      0.00057      0.00803      0.00562      0.01398      0.01641      0.00385      0.00000      0.00365      0.00043      0.07705      0.03642      0.07856      0.08768      0.00000      0.00000      0.00000      0.00000      0.03202      0.01429      0.03350      0.02518      0.00159      0.00000      0.00232      0.00138      0.00442      0.00131      0.00040      0.00144      0.01354      0.00628      0.00936      0.01232      0.00104      0.00182      0.00061      0.00119      0.00000      0.00118      0.00115      0.00154      0.02176      0.01188      0.02124      0.02262      0.03848      0.44144      0.14041      0.24556      0.33629      0.58185      0.03848 
     500      317    6.090e-01      0.34033      0.00000      0.00000      0.00164      0.00053      0.00620      0.00525      0.00700      0.00937      0.00084      0.00050      0.00169      0.00077      0.02382      0.01309      0.03771      0.04567      0.00000      0.00000      0.00000      0.00000      0.02793      0.00757      0.01587      0.01548      0.00081      0.00000      0.00031      0.00255      0.00000      0.00000      0.00233      0.00002      0.01290      0.00339      0.00962      0.00924      0.00166      0.00050      0.00163      0.00232      0.00099      0.00000      0.00075      0.00272      0.01855      0.00450      0.01013      0.01296      0.02154      0.22093      0.09786      0.12850      0.19028      0.31879      0.02154 
     500      333    6.090e-01      0.52712      0.00060      0.00000      0.00352      0.00104      0.01356      0.00548      0.01487      0.02106      0.00614      0.00088      0.00353      0.00000      0.05626      0.03458      0.06449      0.06828      0.00124      0.00000      0.00145      0.00000      0.03178      0.01226      0.03627      0.02129      0.00060      0.00000      0.00093      0.00051      0.00000      0.00000      0.00057      0.00161      0.01044      0.00568      0.01155      0.01593      0.00156      0.00000      0.00053      0.00163      0.00000      0.00069      0.00066      0.00087      0.01973      0.00000      0.01273      0.01394      0.02842      0.39857      0.10013      0.20146      0.29724      0.49870      0.02842 
